code_system,medcode_id,description
CPRD_medcode,318757012,"Closed fracture proximal humerus, four part"
CPRD_medcode,318753011,"Closed fracture proximal humerus, greater tuberosity 4"
CPRD_medcode,318751013,"Closed fracture proximal humerus, neck"
CPRD_medcode,318756015,"Closed fracture proximal humerus, three part"
CPRD_medcode,318857019,Closed fracture radial styloid
CPRD_medcode,1490703015,"Closed fracture radius and ulna, distal"
CPRD_medcode,4849091000006114,Closed fracture subluxation of distal radioulnar joint
CPRD_medcode,4849551000006114,Closed fracture subluxation of hip joint
CPRD_medcode,565671000006117,Closed fracture subluxation of the wrist
CPRD_medcode,4849101000006115,Closed fracture subluxation radiocarpal joint
CPRD_medcode,318435018,Closed fracture thoracic vertebra
CPRD_medcode,318445016,Closed fracture thoracic vertebra not otherwise specified
CPRD_medcode,318436017,"Closed fracture thoracic vertebra, burst"
CPRD_medcode,318441013,"Closed fracture thoracic vertebra, posterior arch"
CPRD_medcode,318439012,"Closed fracture thoracic vertebra, spinous process"
CPRD_medcode,318438016,"Closed fracture thoracic vertebra, spondylolysis"
CPRD_medcode,318440014,"Closed fracture thoracic vertebra, transverse process"
CPRD_medcode,318442018,"Closed fracture thoracic vertebra, tricolumnar"
CPRD_medcode,318437014,"Closed fracture thoracic vertebra, wedge"
CPRD_medcode,565211000006111,"Closed fracture, base of neck of femur"
CPRD_medcode,565381000006114,Closed fracture-dislocation radiocarpal joint
CPRD_medcode,565711000006118,Closed fracture-subluxation radiocarpal joint
CPRD_medcode,565781000006113,"Closed fracture-subluxation, distal radio-ulnar jt"
CPRD_medcode,565801000006112,"Closed fracture-subluxation, hip joint"
CPRD_medcode,318850017,Closed Galeazzi fracture
CPRD_medcode,562981000006117,Closed intertrochanteric fracture
CPRD_medcode,6009791000006112,Closed multiple fractures of clavicle and/or scapula and/or humerus
CPRD_medcode,455446019,"Closed multiple fractures of clavicle, scapula and humerus"
CPRD_medcode,455444016,Closed multiple fractures of thoracic spine
CPRD_medcode,7641321000006110,Closed reduction and dynamic hip screw of fracture of femur
CPRD_medcode,3513038014,Closed reduction and dynamic hip screw of fracture of left femur
CPRD_medcode,3513041017,Closed reduction and dynamic hip screw of fracture of right femur
CPRD_medcode,570611000006114,Closed reduction and internal fixation of proximal femoral fracture with Richard's cannulated hip screw
CPRD_medcode,7641281000006116,Closed reduction and nailing of fracture of proximal femur
CPRD_medcode,7642271000006110,Closed reduction and percutaneous K-wire fixation of fracture of distal radius
CPRD_medcode,7642261000006115,Closed reduction of fracture of distal radius and percutaneous fixation using Kirschner wire
CPRD_medcode,7641311000006119,Closed reduction of fracture of femur and internal fixation using dynamic hip screw plate
CPRD_medcode,7230571000006114,Closed reduction of fracture of greater trochanter
CPRD_medcode,7248381000006115,Closed reduction of fracture of greater tuberosity of humerus
CPRD_medcode,7235221000006119,Closed reduction of fracture of head of femur
CPRD_medcode,277185016,Closed reduction of fracture of hip
CPRD_medcode,66948017,Closed reduction of fracture of humerus
CPRD_medcode,7239291000006119,Closed reduction of fracture of lateral condyle of humerus 5
CPRD_medcode,3513039018,Closed reduction of fracture of left femur and internal fixation using dynamic hip screw plate
CPRD_medcode,7641271000006119,Closed reduction of fracture of proximal femur and internal fixation using bone nail
CPRD_medcode,570621000006118,Closed reduction of fracture of proximal femur and internal fixation using bone screw
CPRD_medcode,7641211000006111,Closed reduction of fracture of proximal femur and internal fixation using bone wire
CPRD_medcode,3513042012,Closed reduction of fracture of right femur and internal fixation using dynamic hip screw plate
CPRD_medcode,4424191000006115,Closed reduction of fracture of vertebral body
CPRD_medcode,277200019,Closed reduction of fracture of wrist
CPRD_medcode,7235201000006112,Closed reduction of intertrochanteric fracture of femur
CPRD_medcode,557971000006111,Closed reduction of intracapsular fracture of neck of femur and fixation using Smith-Petersen nail
CPRD_medcode,567461000006115,Closed reduction of intracapsular fracture of neck of femur and internal fixation using a dynamic hip screw
CPRD_medcode,7236281000006111,Closed reduction of peritrochanteric fracture of femur
CPRD_medcode,4353801000006114,Closed reverse Colles' fracture
CPRD_medcode,14196721000006117,Closed Smith's fracture
CPRD_medcode,318849017,Closed Smith's fracture
CPRD_medcode,318559013,Closed spinal fracture with anterior lumbar cord lesion
CPRD_medcode,570851000006111,"Closed spinal fracture with anterior thoracic cord lesion, T1-6"
CPRD_medcode,570691000006116,"Closed spinal fracture with anterior thoracic cord lesion,T7-12"
CPRD_medcode,318562011,Closed spinal fracture with cauda equina lesion
CPRD_medcode,318560015,Closed spinal fracture with central lumbar cord lesion
CPRD_medcode,570721000006114,"Closed spinal fracture with central thoracic cord lesion, T1-6"
CPRD_medcode,570731000006112,"Closed spinal fracture with central thoracic cord lesion, T7-12"
CPRD_medcode,318558017,Closed spinal fracture with complete lumbar cord lesion
CPRD_medcode,570861000006113,"Closed spinal fracture with complete thoracic cord lesion, T1-6"
CPRD_medcode,570761000006115,"Closed spinal fracture with complete thoracic cord lesion,T7-12"
CPRD_medcode,318561016,Closed spinal fracture with posterior lumbar cord lesion
CPRD_medcode,570791000006111,"Closed spinal fracture with posterior thoracic cord lesion, T1-6"
CPRD_medcode,570801000006112,"Closed spinal fracture with posterior thoracic cord lesion, T7-12"
CPRD_medcode,318557010,Closed spinal fracture with unspecified lumbar cord lesion
CPRD_medcode,5572281000006119,Closed subcapital fracture of femur
CPRD_medcode,7590421000006110,Closed subcapital fracture of neck of femur
CPRD_medcode,4843911000006117,Closed subtrochanteric fracture of femur
CPRD_medcode,3451541000006117,Closed supracondylar fracture of humerus
CPRD_medcode,569501000006112,Closed volar Barton fracture-subluxation
CPRD_medcode,318851018,Closed volar Barton's fracture
CPRD_medcode,569521000006119,Closed volar Barton's fracture-dislocation
CPRD_medcode,570531000006119,"Cls # of proximal femur, pertrochanteric section, NOS"
CPRD_medcode,570551000006114,"Cls # prox femur, subcapital, Garden grade unspec."
CPRD_medcode,570571000006116,"Cls # proximal femur, trochanteric section, unspecified"
CPRD_medcode,570651000006110,"Cls spinal # with incomplete thoracic cord lesion, T1-6 NOS 6"
CPRD_medcode,570661000006112,"Cls spinal # with incomplete thoracid cord lesion, T7-12 NOS"
CPRD_medcode,570831000006116,"Cls spinal fracture with unspec thoracic cord lesion, T7-12"
CPRD_medcode,570841000006114,"Cls spinal fracture with unspec thoracic cord lesion,T1-6"
CPRD_medcode,452080019,Collapse of cervical vertebra
CPRD_medcode,455433012,Collapse of cervical vertebra due to osteoporosis
CPRD_medcode,452081015,Collapse of lumbar vertebra
CPRD_medcode,572171000006113,Collapse of lumbar vertebra
CPRD_medcode,455534015,Collapse of lumbar vertebra due to osteoporosis
CPRD_medcode,359835018,Collapse of spine NOS
CPRD_medcode,452079017,Collapse of thoracic vertebra
CPRD_medcode,572221000006119,Collapse of thoracic vertebra
CPRD_medcode,455535019,Collapse of thoracic vertebra due to osteoporosis
CPRD_medcode,359834019,Collapse of vertebra
CPRD_medcode,455536018,Collapse of vertebra due to osteoporosis
CPRD_medcode,5657751000006114,Collapse wedge fracture of cervical vertebra
CPRD_medcode,5657971000006119,Collapse wedge fracture of lumbar vertebra
CPRD_medcode,5657861000006118,Collapse wedge fracture of thoracic vertebra
CPRD_medcode,3868741000006117,Collapsed vertebra
CPRD_medcode,451464018,Collapsed vertebra NOS
CPRD_medcode,895561000006112,Colles fracture
CPRD_medcode,4358241000006117,Colles' fracture
CPRD_medcode,276468015,Complex decompression of fracture of spine
CPRD_medcode,2849061000006112,Compression fracture
CPRD_medcode,7276821000006110,Compression fracture
CPRD_medcode,11049591000006112,Compression fracture of L2
CPRD_medcode,7062291000006110,Compression fracture of lumbar spine
CPRD_medcode,11049601000006116,Compression fracture of second lumbar vertebra
CPRD_medcode,3192381000006119,Compression fracture of spine
CPRD_medcode,7504191000006113,Compression fracture of thoracic spine
CPRD_medcode,3192371000006117,Compression fracture of vertebral column
CPRD_medcode,13967421000006114,Crush fracture
CPRD_medcode,5657761000006111,Crush fracture of cervical vertebra
CPRD_medcode,5657981000006116,Crush fracture of lumbar vertebra
CPRD_medcode,5657871000006113,Crush fracture of thoracic vertebra
CPRD_medcode,276467013,Decompression of fracture of spine
CPRD_medcode,276474015,Decompression of fracture of spine NOS
CPRD_medcode,358600013,DHS - Dynamic hip screw primary fixation of neck of femur
CPRD_medcode,7701311000006115,DHS - Dynamic hip screw primary fixation of neck of femur using arthroscopy
CPRD_medcode,5462041000006117,Dorsal Barton fracture
CPRD_medcode,5462031000006110,Dorsal Barton's fracture
CPRD_medcode,312159013,Drug-induced osteoporosis with pathological fracture
CPRD_medcode,632631000006110,"Dupuytren's fracture, radius - closed"
CPRD_medcode,4396061000006115,Extracapsular fracture of neck of femur
CPRD_medcode,2593851000006113,Femoral neck fracture 7
CPRD_medcode,761201000006112,Fixation of fracture of spine and skull traction HFQ
CPRD_medcode,276583011,Fixation of fracture of spine NOS
CPRD_medcode,276566019,Fixation of fracture of spine using Harrington rod
CPRD_medcode,9707731000006110,Fixation of intertrochanteric fracture of femur using nail
CPRD_medcode,761191000006114,Fixation of spinal fracture
CPRD_medcode,318936014,Fracture at wrist and hand level
CPRD_medcode,387591000006110,Fracture at wrist and/or hand level
CPRD_medcode,5965301000006112,Fracture dislocation distal radioulnar joint
CPRD_medcode,5460481000006118,Fracture dislocation of cervical spine
CPRD_medcode,5657691000006110,Fracture dislocation of cervicothoracic junction
CPRD_medcode,5657701000006110,Fracture dislocation of lumbosacral junction
CPRD_medcode,5657681000006112,Fracture dislocation of thoracolumbar junction
CPRD_medcode,5460591000006116,Fracture dislocation of wrist joint
CPRD_medcode,793921000006113,Fracture dislocation or subluxation of wrist
CPRD_medcode,7312801000006116,Fracture of body of vertebra
CPRD_medcode,7530861000006113,Fracture of bone of hip region
CPRD_medcode,5461911000006114,Fracture of distal end of humerus
CPRD_medcode,5461991000006116,Fracture of distal end of radius
CPRD_medcode,5462121000006113,Fracture of distal end of radius and ulna
CPRD_medcode,5462081000006111,Fracture of distal end of ulna
CPRD_medcode,895571000006117,Fracture of distal end of ulna
CPRD_medcode,7817211000006117,Fracture of eighth thoracic vertebra
CPRD_medcode,7817241000006118,Fracture of eleventh thoracic vertebra
CPRD_medcode,7818591000006112,Fracture of fifth lumbar vertebra
CPRD_medcode,7818521000006110,Fracture of first lumbar vertebra
CPRD_medcode,5888201000006117,Fracture of greater trochanter
CPRD_medcode,7957581000006111,Fracture of greater tuberosity of humerus
CPRD_medcode,7956181000006115,Fracture of head of femur
CPRD_medcode,2593861000006110,Fracture of hip
CPRD_medcode,110116013,Fracture of humerus
CPRD_medcode,318810015,Fracture of humerus NOS
CPRD_medcode,7818541000006115,Fracture of L2 vertebra
CPRD_medcode,7818561000006116,Fracture of L3 vertebra
CPRD_medcode,7818581000006114,Fracture of L4 vertebra
CPRD_medcode,7818601000006116,Fracture of L5 vertebra
CPRD_medcode,391366010,Fracture of lower end of both ulna and radius
CPRD_medcode,391345019,Fracture of lower end of humerus
CPRD_medcode,391354016,Fracture of lower end of radius
CPRD_medcode,3527286011,Fracture of lower end of radius with dorsal tilt
CPRD_medcode,3527288012,Fracture of lower end of radius with volar tilt
CPRD_medcode,4378891000006113,Fracture of lumbar spine
CPRD_medcode,5560661000006118,Fracture of lumbar spine - no cord lesion
CPRD_medcode,318485010,Fracture of lumbar spine and pelvis
CPRD_medcode,4840551000006115,Fracture of lumbar spine and/or pelvis 8
CPRD_medcode,5560691000006114,Fracture of lumbar spine with cord lesion
CPRD_medcode,1220724019,Fracture of lumbar vertebra
CPRD_medcode,7957611000006115,Fracture of medial condyle of humerus
CPRD_medcode,318729017,Fracture of neck and trunk NOS
CPRD_medcode,10843018,Fracture of neck of femur
CPRD_medcode,5461901000006111,Fracture of neck of humerus
CPRD_medcode,7817221000006113,Fracture of ninth thoracic vertebra
CPRD_medcode,5657891000006114,Fracture of pedicle of thoracic vertebra
CPRD_medcode,5462241000006110,Fracture of proximal end of femur
CPRD_medcode,5652681000006114,Fracture of radial styloid
CPRD_medcode,84797011,Fracture of shaft of humerus
CPRD_medcode,3316981000006110,Fracture of spinal vertebra
CPRD_medcode,3316961000006117,Fracture of spine
CPRD_medcode,402850015,Fracture of spine with spinal cord lesion
CPRD_medcode,402832010,Fracture of spine without mention of spinal cord injury
CPRD_medcode,318495015,Fracture of spine without mention of spinal cord lesion NOS
CPRD_medcode,7957571000006113,Fracture of surgical neck of humerus
CPRD_medcode,7817231000006111,Fracture of tenth thoracic vertebra
CPRD_medcode,5652661000006116,Fracture of the lateral humeral epicondyle
CPRD_medcode,5652671000006111,Fracture of the medial humeral epicondyle
CPRD_medcode,7818551000006118,Fracture of third lumbar vertebra
CPRD_medcode,4378871000006112,Fracture of thoracic spine
CPRD_medcode,5560681000006111,Fracture of thoracic spine with cord lesion
CPRD_medcode,5560651000006115,Fracture of thoracic spine without spinal cord lesion
CPRD_medcode,1220723013,Fracture of thoracic vertebra
CPRD_medcode,7315291000006119,Fracture of trochanter of femur
CPRD_medcode,7817251000006116,Fracture of twelfth thoracic vertebra
CPRD_medcode,5652711000006110,Fracture of ulnar styloid
CPRD_medcode,3578351000006111,Fracture of upper arm
CPRD_medcode,3316991000006113,Fracture of vertebra
CPRD_medcode,402849015,Fracture of vertebra with spinal cord lesion
CPRD_medcode,402831015,Fracture of vertebra without spinal cord lesion
CPRD_medcode,312617013,Fracture of vertebral column
CPRD_medcode,318601013,Fracture of vertebral column with spinal cord injury
CPRD_medcode,5901941000006111,Fracture subluxation of hip joint
CPRD_medcode,5460821000006115,Fracture subluxation of wrist
CPRD_medcode,3317001000006117,Fractured spine
